request_id,enqueue_time,send_time,first_byte_time,end_time,prompt_tokens,resp_tokens,bytes_received,status,error
4229d24f-063d-4fe1-a2aa-784c5b7bc32b,1758871616.6214082,1758871616.6214874,,1758871616.621497,45,,,,"'""model""'"
52bf4dfc-837d-48fa-9c09-b79b8bdd79e7,1758871616.8017159,1758871616.8017955,,1758871616.801805,82,,,,"'""model""'"
ece6ecda-8d44-4bd6-80b9-15c55be4cc50,1758871616.8161488,1758871616.8162282,,1758871616.8162374,105,,,,"'""model""'"
73a7b9aa-529d-421e-96bf-7ac2f0973c96,1758871616.8215914,1758871616.8216722,,1758871616.8216817,57,,,,"'""model""'"
bc57fe06-5099-408b-a497-1d24880345b6,1758871616.8260038,1758871616.826084,,1758871616.8260932,90,,,,"'""model""'"
c5b029aa-5286-431a-b4f6-a57e4328b410,1758871616.850432,1758871616.8505123,,1758871616.8505218,52,,,,"'""model""'"
75f4ba4f-93ad-4294-b390-663595d00214,1758871616.8578422,1758871616.8579216,,1758871616.857931,93,,,,"'""model""'"
788158d8-aea9-4227-824d-2cf8bada2f3e,1758871616.8602743,1758871616.8603535,,1758871616.860363,28,,,,"'""model""'"
7f75faa4-07e4-4b1c-9405-03908ee180a3,1758871616.8826933,1758871616.8827732,,1758871616.8827827,21,,,,"'""model""'"
ba75fdf6-bbf8-4355-b716-35db06fc1d62,1758871616.9041212,1758871616.9042013,,1758871616.9042108,29,,,,"'""model""'"
34447175-18ae-4256-bac6-c8eb034fb45c,1758871616.9145503,1758871616.9146297,,1758871616.914639,40,,,,"'""model""'"
31098dcc-c6cb-41a1-8b1c-d2bb21a286e7,1758871616.9459639,1758871616.9460425,,1758871616.946052,29,,,,"'""model""'"
71680a1a-dbb6-41b5-98b6-5850d0d70560,1758871616.9623725,1758871616.962452,,1758871616.9624615,16,,,,"'""model""'"
e72319f2-a46b-489e-b64e-ad2304c26a58,1758871616.9997957,1758871616.999876,,1758871616.999885,34,,,,"'""model""'"
29805ee9-ea9e-4635-92ee-073929a05494,1758871617.0032327,1758871617.003314,,1758871617.003323,114,,,,"'""model""'"
b1e96f17-651f-47ad-b27e-76a4a616b4d9,1758871617.0196626,1758871617.0197425,,1758871617.019752,93,,,,"'""model""'"
ee8142e6-fdef-481f-bc4a-fbb5729097e1,1758871617.0391104,1758871617.0391893,,1758871617.0391986,33,,,,"'""model""'"
7198662c-4bb3-461f-ac3d-a50fc8053efb,1758871617.0435383,1758871617.0436177,,1758871617.0436273,92,,,,"'""model""'"
a61bcc7f-ff1c-4a3f-8e2c-057b410dae6c,1758871617.0609615,1758871617.0610409,,1758871617.06105,32,,,,"'""model""'"
5d866563-6a39-4224-a241-c4ef4965bdba,1758871617.119408,1758871617.1194873,,1758871617.1194968,110,,,,"'""model""'"
f4f6e456-a504-4216-8377-d8c078a64a0a,1758871617.130833,1758871617.1309128,,1758871617.1309218,43,,,,"'""model""'"
4a6e5626-d388-4816-a2f9-63177e43a5cf,1758871617.1612692,1758871617.1613493,,1758871617.1613586,98,,,,"'""model""'"
